Year,Vegetation,Data,Area,Niche_breadth
1982,ph,observed,1048.795148,4.992338934
1982,su,observed,3196.98263,5.140335068
1983,ph,observed,1175.13,5.043314952
1983,su,observed,4316.192517,5.313035311
1984,ph,observed,1084.30262,5.033190286
1984,su,observed,2956.860858,5.158581353
1985,ph,observed,1166.592139,5.108418081
1985,su,observed,3089.79,5.197839133
1986,ph,observed,1217.045688,5.052132847
1986,su,observed,3539.60026,5.208776365
1987,ph,observed,1292.919861,5.07408517
1987,su,observed,2575.151439,5.061819555
1988,ph,observed,1145.814822,5.047841918
1988,su,observed,1665.495514,5.091155478
1989,ph,observed,1341.644008,5.090566442
1989,su,observed,3586.100107,5.218873506
1990,ph,observed,1619.703508,5.14305655
1990,su,observed,3481.041747,5.151904513
1990,sp,observed,2.97,1.977643
1991,ph,observed,1742.015658,5.190896583
1991,su,observed,3491.825536,5.148968018
1991,sp,observed,7.74,2.836853685
1992,ph,observed,1743.451232,5.171847266
1992,su,observed,3406.487108,5.117209623
1992,sp,observed,89.913872,3.564898273
1993,ph,observed,1567.815193,5.15007518
1993,su,observed,3811.253074,5.255171107
1993,sp,observed,194.3020264,3.959355006
1994,ph,observed,2271.432066,5.237384749
1994,su,observed,2356.848543,4.887086813
1994,sp,observed,248.5720264,4.157468954
1995,ph,observed,1936.870113,5.204605796
1995,su,observed,3015.093434,5.071438262
1995,sp,observed,504.0184574,4.533041415
1996,ph,observed,2530.781398,5.259698453
1996,su,observed,2515.981034,4.92883646
1996,sp,observed,961.2360275,4.698800657
1997,ph,observed,2589.762356,5.268886966
1997,su,observed,3042.267659,5.077220877
1997,sp,observed,1362.870105,4.648452615
1998,ph,observed,2494.06556,5.265654637
1998,su,observed,4045.575275,5.215875867
1998,sp,observed,1568.823703,4.596479381
1999,ph,observed,2499.953433,5.258419037
1999,su,observed,4560.289769,5.262852323
1999,sp,observed,1863.345591,4.5750467
2000,ph,observed,2450.807859,5.249703386
2000,su,observed,3762.948844,5.230690429
2000,sp,observed,2088.697225,4.572220287
2001,ph,observed,2590.623309,5.270327564
2001,su,observed,4170.582673,5.224626635
2001,sp,observed,2252.825636,4.583617511
2002,ph,observed,2672.63587,5.289721243
2002,su,observed,3033.85088,5.136986925
2002,sp,observed,2434.502227,4.596269399
2003,ph,observed,2687.411158,5.281379038
2003,su,observed,2708.638968,5.043479285
2003,sp,observed,2514.151032,4.615133782
2004,ph,observed,2706.421706,5.286706645
2004,su,observed,2378.055277,4.970855747
2004,sp,observed,2637.989735,4.651861676
2005,ph,observed,2915.007955,5.323975982
2005,su,observed,3535.128825,5.087509557
2005,sp,observed,2770.281236,4.675173413
2006,ph,observed,3069.339347,5.36303754
2006,su,observed,3346.91094,5.071275874
2006,sp,observed,2802.198833,4.679541832
2007,ph,observed,3115.108754,5.374783237
2007,su,observed,2697.425311,5.035623629
2007,sp,observed,2945.167478,4.708685753
2008,ph,observed,3189.707386,5.378990282
2008,su,observed,2801.798,5.053165953
2008,sp,observed,3069.721467,4.738463743
2009,ph,observed,3761.116151,5.470675409
2009,su,observed,2494.197075,5.040315577
2009,sp,observed,3156.338936,4.747659863
2010,ph,observed,3754.900525,5.480429217
2010,su,observed,2426.252555,5.046268634
2010,sp,observed,3498.871192,4.793956353
2011,ph,observed,3681.84707,5.456672587
2011,su,observed,2865.633225,5.030165212
2011,sp,observed,3394.490901,4.783591696
2012,ph,observed,4092.279417,5.536173621
2012,su,observed,1861.570384,4.867132116
2012,sp,observed,3498.175999,4.834735436
2013,ph,observed,4056.98664,5.572548057
2013,su,observed,2413.530473,5.044941157
2013,sp,observed,3609.386335,4.816575047
2014,ph,observed,4986.775101,5.672828473
2014,su,observed,1456.62348,4.890245345
2014,sp,observed,3585.141428,4.787658079
2015,ph,observed,5104.408804,5.681059255
2015,su,observed,1214.461374,4.833520366
2015,sp,observed,3606.933721,4.811802647
2016,ph,observed,5142.068436,5.675836656
2016,su,observed,1078.117726,4.872877946
2016,sp,observed,3761.570517,4.816354686
2017,ph,observed,5446.732833,5.711131433
2017,su,observed,774.6716004,4.762062449
2017,sp,observed,3781.555591,4.825697313
2018,ph,observed,5747.996265,5.725419421
2018,su,observed,362.2497676,4.528178643
2018,sp,observed,3778.382275,4.807388751
2019,ph,observed,5776.255809,5.730483218
2019,su,observed,280.0885953,4.631766087
2019,sp,observed,3874.217219,4.819932209
2020,ph,observed,5836.855101,5.735630118
2020,su,observed,216.4784687,4.24806001
2020,sp,observed,3699.954831,4.791246908
1990,ph,modelled,1619.703508,5.14305655
1990,su,modelled,3481.041747,5.151904513
1990,sp,modelled,2.969999991,1.977642988
1991,ph,modelled,1704.096587,5.164202626
1991,su,modelled,3459.553972,5.11230331
1991,sp,modelled,8.152608662,3.931706686
1992,ph,modelled,1826.471769,5.183637295
1992,su,modelled,3539.296454,5.103975074
1992,sp,modelled,21.43857224,4.23746382
1993,ph,modelled,1940.87764,5.201208135
1993,su,modelled,3634.482267,5.109530392
1993,sp,modelled,54.73260885,4.399338871
1994,ph,modelled,2038.453424,5.21724716
1994,su,modelled,3726.634114,5.121615522
1994,sp,modelled,136.4135214,4.503262082
1995,ph,modelled,2120.819556,5.232203392
1995,su,modelled,3808.566149,5.136117818
1995,sp,modelled,326.0159077,4.572615301
1996,ph,modelled,2192.104706,5.246322996
1996,su,modelled,3871.778491,5.149718608
1996,sp,modelled,715.6721662,4.619689123
1997,ph,modelled,2256.767725,5.2597398
1997,su,modelled,3903.086088,5.159121402
1997,sp,modelled,1354.222308,4.658439425
1998,ph,modelled,2319.721871,5.27270146
1998,su,modelled,3889.22006,5.16145526
1998,sp,modelled,2101.600552,4.701839494
1999,ph,modelled,2386.510245,5.285748568
1999,su,modelled,3825.986902,5.155277916
1999,sp,modelled,2709.478247,4.751769714
2000,ph,modelled,2462.26661,5.299532079
2000,su,modelled,3720.417175,5.140661383
2000,sp,modelled,3089.070061,4.799071194
2001,ph,modelled,2550.361365,5.314489055
2001,su,modelled,3584.162204,5.118381078
2001,sp,modelled,3301.296385,4.836481279
2002,ph,modelled,2652.016487,5.330749731
2002,su,modelled,3427.604853,5.089343707
2002,sp,modelled,3422.101078,4.863553037
2003,ph,modelled,2766.753234,5.348228222
2003,su,modelled,3258.193641,5.054458385
2003,sp,modelled,3498.292506,4.883030004
2004,ph,modelled,2893.094303,5.366737809
2004,su,modelled,3080.824618,5.014616803
2004,sp,modelled,3553.410376,4.897668563
2005,ph,modelled,3029.216421,5.386067324
2005,su,modelled,2898.552177,4.970607904
2005,sp,modelled,3598.449706,4.909364848
2006,ph,modelled,3173.423427,5.406015545
2006,su,modelled,2713.208002,4.922990891
2006,sp,modelled,3638.391349,4.919273226
2007,ph,modelled,3324.366975,5.42639685
2007,su,modelled,2525.947823,4.872022964
2007,sp,modelled,3675.460532,4.928080056
2008,ph,modelled,3480.994543,5.447033639
2008,su,modelled,2337.731388,4.817737353
2008,sp,modelled,3710.656718,4.936211357
2009,ph,modelled,3642.30072,5.467751731
2009,su,modelled,2149.616699,4.760204025
2009,sp,modelled,3744.459716,4.943961617
2010,ph,modelled,3807.094739,5.488388076
2010,su,modelled,1962.746615,4.699817014
2010,sp,modelled,3777.157517,4.951567681
2011,ph,modelled,3973.996604,5.508802081
2011,su,modelled,1778.160528,4.63733012
2011,sp,modelled,3809.003506,4.95924714
2012,ph,modelled,4141.608493,5.528874929
2012,su,modelled,1596.742382,4.57363756
2012,sp,modelled,3840.296461,4.967210879
2013,ph,modelled,4308.608299,5.548495931
2013,su,modelled,1419.397569,4.509597933
2013,sp,modelled,3871.420433,4.975651688
2014,ph,modelled,4473.649503,5.567546139
2014,su,modelled,1247.304258,4.446019623
2014,sp,modelled,3902.849255,4.984707081
2015,ph,modelled,4635.154035,5.585885115
2015,su,modelled,1082.138473,4.383618279
2015,sp,modelled,3935.096674,4.994397123
2016,ph,modelled,4791.088212,5.603341179
2016,su,modelled,926.2655178,4.322880111
2016,sp,modelled,3968.577285,5.004549957
2017,ph,modelled,4938.785685,5.619713181
2017,su,modelled,782.692319,4.264202356
2017,sp,modelled,4003.357271,5.014752517
2018,ph,modelled,5075.073273,5.634796056
2018,su,modelled,654.4782176,4.208413426
2018,sp,modelled,4038.855423,5.024390035
2019,ph,modelled,5196.945412,5.64842079
2019,su,modelled,543.8349387,4.156929004
2019,sp,modelled,4073.679536,5.032810913
2020,ph,modelled,5302.465706,5.66048573
2020,su,modelled,451.535646,4.111176284
2020,sp,modelled,4105.807587,5.039548981
